#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B21A75
#Date Time: 2023-03-29 12:45:36.929
#Sample rate: 238.139Hz
#Samples: 2369
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Math 1: Function: C1/3.5

Time (s),Channel 1 (V),Math 1 (A)
-16.4609816,-0.0006051791362213319,-0.0001729083246346663
-16.45678237,-0.0006051791362214857,-0.0001729083246347102
-16.45258314,-0.0009432307040044588,-0.0002694944868584168
-16.44838391,-0.0006051791362213319,-0.0001729083246346663
-16.44418468,-0.0006051791362213319,-0.0001729083246346663
-16.43998545,-0.0006051791362213319,-0.0001729083246346663
-16.43578622,-0.0009432307040044588,-0.0002694944868584168
-16.43158699,-0.0006051791362213319,-0.0001729083246346663
-16.42738776,-0.0006051791362213319,-0.0001729083246346663
-16.42318853,-0.0009432307040044588,-0.0002694944868584168
-16.4189893,-0.0006051791362214857,-0.0001729083246347102
-16.41479007,-0.000943230704004305,-0.0002694944868583729
-16.41059084,-0.0009432307040044588,-0.0002694944868584168
-16.40639161,-0.0006051791362213319,-0.0001729083246346663
-16.40219238,-0.000943230704004305,-0.0002694944868583729
-16.39799315,-0.0006051791362213319,-0.0001729083246346663
-16.39379392,-0.0009432307040044588,-0.0002694944868584168
-16.38959469,-0.0006051791362213319,-0.0001729083246346663
-16.38539546,-0.0006051791362213319,-0.0001729083246346663
-16.38119623,-0.0009432307040044588,-0.0002694944868584168
-16.376997,-0.0006051791362213319,-0.0001729083246346663
-16.37279777,-0.0006051791362213319,-0.0001729083246346663
-16.36859854,-0.0006051791362213319,-0.0001729083246346663
-16.36439931,-0.0006051791362213319,-0.0001729083246346663
-16.36020008,-0.0006051791362213319,-0.0001729083246346663
-16.35600085,-0.0009432307040044588,-0.0002694944868584168
-16.35180162,-0.0009432307040044588,-0.0002694944868584168
-16.34760239,-0.0009432307040044588,-0.0002694944868584168
-16.34340316,-0.0006051791362213319,-0.0001729083246346663
-16.33920393,-0.0006051791362213319,-0.0001729083246346663
-16.3350047,-0.000943230704004305,-0.0002694944868583729
-16.33080547,-0.0009432307040044588,-0.0002694944868584168
-16.32660624,-0.0009432307040044588,-0.0002694944868584168
-16.32240701,-0.0009432307040044588,-0.0002694944868584168
-16.31820778,-0.0009432307040044588,-0.0002694944868584168
-16.31400855,-0.0009432307040044588,-0.0002694944868584168
-16.30980932,-0.0009432307040044588,-0.0002694944868584168
-16.30561009,-0.0009432307040044588,-0.0002694944868584168
-16.30141086,-0.0009432307040044588,-0.0002694944868584168
-16.29721163,-0.0009432307040044588,-0.0002694944868584168
-16.2930124,-0.0009432307040044588,-0.0002694944868584168
-16.28881317,-0.0009432307040044588,-0.0002694944868584168
-16.28461394,-0.0006051791362213319,-0.0001729083246346663
-16.28041471,-0.0006051791362213319,-0.0001729083246346663
-16.27621548,-0.0006051791362213319,-0.0001729083246346663
-16.27201625,-0.0006051791362213319,-0.0001729083246346663
-16.26781702,-0.000943230704004305,-0.0002694944868583729
-16.26361779,-0.0009432307040044588,-0.0002694944868584168
-16.25941856,-0.0006051791362213319,-0.0001729083246346663
-16.25521933,-0.000943230704004305,-0.0002694944868583729
-16.2510201,-0.0006051791362213319,-0.0001729083246346663
-16.24682087,-0.0009432307040044588,-0.0002694944868584168
-16.24262164,-0.0006051791362213319,-0.0001729083246346663
-16.23842241,-0.0006051791362213319,-0.0001729083246346663
-16.23422318,-0.0006051791362213319,-0.0001729083246346663
-16.23002395,-0.000943230704004305,-0.0002694944868583729
-16.22582472,-0.0006051791362214857,-0.0001729083246347102
-16.22162549,-0.0006051791362213319,-0.0001729083246346663
-16.21742626,-0.0006051791362213319,-0.0001729083246346663
-16.21322703,-0.0006051791362213319,-0.0001729083246346663
-16.2090278,-0.0006051791362213319,-0.0001729083246346663
-16.20482857,-0.0006051791362213319,-0.0001729083246346663
-16.20062934,-0.0006051791362213319,-0.0001729083246346663
-16.19643011,-0.0006051791362213319,-0.0001729083246346663
-16.19223088,-0.0009432307040044588,-0.0002694944868584168
-16.18803165,-0.0006051791362213319,-0.0001729083246346663
-16.18383242,-0.0006051791362213319,-0.0001729083246346663
-16.17963319,-0.0006051791362213319,-0.0001729083246346663
-16.17543396,-0.000943230704004305,-0.0002694944868583729
-16.17123473,-0.0006051791362214857,-0.0001729083246347102
-16.1670355,-0.0006051791362213319,-0.0001729083246346663
-16.16283627,-0.0006051791362213319,-0.0001729083246346663
-16.15863704,-0.0006051791362213319,-0.0001729083246346663
-16.15443781,-0.0006051791362213319,-0.0001729083246346663
-16.15023858,-0.0006051791362213319,-0.0001729083246346663
-16.14603935,-0.0006051791362213319,-0.0001729083246346663
-16.14184012,-0.0006051791362213319,-0.0001729083246346663
-16.13764089,-0.0009432307040044588,-0.0002694944868584168
